H, NaN, KeyR, H, NaN, ShiftLeft, H, NaN, ControlLeft, DD, 8893, Period, UD, 15318, Period, H, 102, Period, DD, 103, KeyK, UD, 1, KeyK, H, 121, KeyK, DD, 122, Digit3, UD, 1, Digit3, H, 119, Digit3, DD, 119, KeyM, UD, 0, KeyM, H, 85, KeyM, DD, 86, KeyO, UD, 1, KeyO, H, 78, KeyO, DD, 78, KeyO, UD, 0, KeyO, H, 124, KeyO, DD, 125, KeyS, UD, 1, KeyS, H, 143, KeyS, DD, 144, KeyA, UD, 1, KeyA, H, 138, KeyA, DD, 138, KeyB, UD, 0, KeyB, H, 101, KeyB, DD, 101, KeyZ, UD, 0, KeyZ, H, 101, KeyZ, DD, 101, Enter, UD, 0, Enter
H, 120, Enter, DD, 227, Period, UD, 107, Period, H, 145, Period, DD, 146, KeyK, UD, 1, KeyK, H, 82, KeyK, DD, 82, Digit3, UD, 0, Digit3, H, 78, Digit3, DD, 78, KeyM, UD, 0, KeyM, H, 105, KeyM, DD, 107, KeyO, UD, 2, KeyO, H, 96, KeyO, DD, 96, KeyO, UD, 0, KeyO, H, 146, KeyO, DD, 149, KeyS, UD, 3, KeyS, H, 119, KeyS, DD, 120, KeyA, UD, 1, KeyA, H, 98, KeyA, DD, 98, KeyB, UD, 0, KeyB, H, 126, KeyB, DD, 128, KeyZ, UD, 2, KeyZ, H, 82, KeyZ, DD, 83, Enter, UD, 1, Enter
H, 141, Enter, DD, 242, Period, UD, 101, Period, H, 140, Period, DD, 140, KeyK, UD, 0, KeyK, H, 104, KeyK, DD, 105, Digit3, UD, 1, Digit3, H, 99, Digit3, DD, 99, KeyM, UD, 0, KeyM, H, 144, KeyM, DD, 145, KeyO, UD, 1, KeyO, H, 143, KeyO, DD, 143, KeyO, UD, 0, KeyO, H, 79, KeyO, DD, 80, KeyS, UD, 1, KeyS, H, 121, KeyS, DD, 121, KeyA, UD, 0, KeyA, H, 81, KeyA, DD, 81, KeyB, UD, 0, KeyB, H, 104, KeyB, DD, 105, KeyZ, UD, 1, KeyZ, H, 99, KeyZ, DD, 99, Enter, UD, 0, Enter
H, 120, Enter, DD, 223, Period, UD, 103, Period, H, 143, Period, DD, 145, KeyK, UD, 2, KeyK, H, 139, KeyK, DD, 141, Digit3, UD, 2, Digit3, H, 103, Digit3, DD, 103, KeyM, UD, 0, KeyM, H, 85, KeyM, DD, 88, KeyO, UD, 3, KeyO, H, 94, KeyO, DD, 94, KeyO, UD, 0, KeyO, H, 82, KeyO, DD, 83, KeyS, UD, 1, KeyS, H, 84, KeyS, DD, 85, KeyA, UD, 1, KeyA, H, 102, KeyA, DD, 103, KeyB, UD, 1, KeyB, H, 98, KeyB, DD, 98, KeyZ, UD, 0, KeyZ, H, 99, KeyZ, DD, 100, Enter, UD, 1, Enter
H, 104, Enter, DD, 202, Period, UD, 98, Period, H, 101, Period, DD, 101, KeyK, UD, 0, KeyK, H, 85, KeyK, DD, 86, Digit3, UD, 1, Digit3, H, 140, Digit3, DD, 140, KeyM, UD, 0, KeyM, H, 80, KeyM, DD, 80, KeyO, UD, 0, KeyO, H, 121, KeyO, DD, 121, KeyO, UD, 0, KeyO, H, 104, KeyO, DD, 105, KeyS, UD, 1, KeyS, H, 82, KeyS, DD, 83, KeyA, UD, 1, KeyA, H, 117, KeyA, DD, 117, KeyB, UD, 0, KeyB, H, 146, KeyB, DD, 147, KeyZ, UD, 1, KeyZ, H, 103, KeyZ, DD, 104, Enter, UD, 1, Enter
H, 139, Enter, DD, 244, Period, UD, 105, Period, H, 145, Period, DD, 146, KeyK, UD, 1, KeyK, H, 141, KeyK, DD, 142, Digit3, UD, 1, Digit3, H, 120, Digit3, DD, 121, KeyM, UD, 1, KeyM, H, 83, KeyM, DD, 83, KeyO, UD, 0, KeyO, H, 103, KeyO, DD, 103, KeyO, UD, 0, KeyO, H, 140, KeyO, DD, 140, KeyS, UD, 0, KeyS, H, 121, KeyS, DD, 121, KeyA, UD, 0, KeyA, H, 100, KeyA, DD, 100, KeyB, UD, 0, KeyB, H, 141, KeyB, DD, 141, KeyZ, UD, 0, KeyZ, H, 123, KeyZ, DD, 125, Enter, UD, 2, Enter
H, 99, Enter, DD, 210, Period, UD, 111, Period, H, 79, Period, DD, 79, KeyK, UD, 0, KeyK, H, 124, KeyK, DD, 125, Digit3, UD, 1, Digit3, H, 120, Digit3, DD, 120, KeyM, UD, 0, KeyM, H, 124, KeyM, DD, 125, KeyO, UD, 1, KeyO, H, 119, KeyO, DD, 119, KeyO, UD, 0, KeyO, H, 102, KeyO, DD, 102, KeyS, UD, 0, KeyS, H, 125, KeyS, DD, 126, KeyA, UD, 1, KeyA, H, 120, KeyA, DD, 120, KeyB, UD, 0, KeyB, H, 138, KeyB, DD, 138, KeyZ, UD, 0, KeyZ, H, 104, KeyZ, DD, 105, Enter, UD, 1, Enter
H, 118, Enter, DD, 221, Period, UD, 103, Period, H, 119, Period, DD, 119, KeyK, UD, 0, KeyK, H, 141, KeyK, DD, 141, Digit3, UD, 0, Digit3, H, 86, Digit3, DD, 86, KeyM, UD, 0, KeyM, H, 102, KeyM, DD, 103, KeyO, UD, 1, KeyO, H, 100, KeyO, DD, 101, KeyO, UD, 1, KeyO, H, 121, KeyO, DD, 122, KeyS, UD, 1, KeyS, H, 102, KeyS, DD, 102, KeyA, UD, 0, KeyA, H, 139, KeyA, DD, 139, KeyB, UD, 0, KeyB, H, 83, KeyB, DD, 84, KeyZ, UD, 1, KeyZ, H, 121, KeyZ, DD, 121, Enter, UD, 0, Enter
H, 119, Enter, DD, 223, Period, UD, 104, Period, H, 123, Period, DD, 123, KeyK, UD, 0, KeyK, H, 103, KeyK, DD, 105, Digit3, UD, 2, Digit3, H, 118, Digit3, DD, 118, KeyM, UD, 0, KeyM, H, 106, KeyM, DD, 107, KeyO, UD, 1, KeyO, H, 138, KeyO, DD, 138, KeyO, UD, 0, KeyO, H, 105, KeyO, DD, 106, KeyS, UD, 1, KeyS, H, 122, KeyS, DD, 123, KeyA, UD, 1, KeyA, H, 118, KeyA, DD, 119, KeyB, UD, 1, KeyB, H, 79, KeyB, DD, 79, KeyZ, UD, 0, KeyZ, H, 86, KeyZ, DD, 87, Enter, UD, 1, Enter
H, 78, Enter, DD, 178, Period, UD, 100, Period, H, 121, Period, DD, 121, KeyK, UD, 0, KeyK, H, 144, KeyK, DD, 145, Digit3, UD, 1, Digit3, H, 100, Digit3, DD, 100, KeyM, UD, 0, KeyM, H, 80, KeyM, DD, 80, KeyO, UD, 0, KeyO, H, 103, KeyO, DD, 104, KeyO, UD, 1, KeyO, H, 98, KeyO, DD, 98, KeyS, UD, 0, KeyS, H, 105, KeyS, DD, 106, KeyA, UD, 1, KeyA, H, 78, KeyA, DD, 78, KeyB, UD, 0, KeyB, H, 143, KeyB, DD, 143, KeyZ, UD, 0, KeyZ, H, 123, KeyZ, DD, 124, Enter, UD, 1, Enter
H, 142, Enter, DD, 241, Period, UD, 99, Period, H, 123, Period, DD, 128, KeyK, UD, 5, KeyK, H, 77, KeyK, DD, 77, Digit3, UD, 0, Digit3, H, 120, Digit3, DD, 120, KeyM, UD, 0, KeyM, H, 146, KeyM, DD, 147, KeyO, UD, 1, KeyO, H, 137, KeyO, DD, 137, KeyO, UD, 0, KeyO, H, 145, KeyO, DD, 146, KeyS, UD, 1, KeyS, H, 122, KeyS, DD, 123, KeyA, UD, 1, KeyA, H, 79, KeyA, DD, 79, KeyB, UD, 0, KeyB, H, 86, KeyB, DD, 87, KeyZ, UD, 1, KeyZ, H, 100, KeyZ, DD, 101, Enter, UD, 1, Enter
H, 79, Enter, DD, 182, Period, UD, 103, Period, H, 145, Period, DD, 146, KeyK, UD, 1, KeyK, H, 119, KeyK, DD, 119, Digit3, UD, 0, Digit3, H, 120, Digit3, DD, 120, KeyM, UD, 0, KeyM, H, 106, KeyM, DD, 108, KeyO, UD, 2, KeyO, H, 118, KeyO, DD, 118, KeyO, UD, 0, KeyO, H, 103, KeyO, DD, 104, KeyS, UD, 1, KeyS, H, 84, KeyS, DD, 85, KeyA, UD, 1, KeyA, H, 122, KeyA, DD, 122, KeyB, UD, 0, KeyB, H, 80, KeyB, DD, 80, KeyZ, UD, 0, KeyZ, H, 85, KeyZ, DD, 86, Enter, UD, 1, Enter
H, 140, Enter, DD, 246, Period, UD, 106, Period, H, 81, Period, DD, 81, KeyK, UD, 0, KeyK, H, 101, KeyK, DD, 101, Digit3, UD, 0, Digit3, H, 120, Digit3, DD, 120, KeyM, UD, 0, KeyM, H, 86, KeyM, DD, 87, KeyO, UD, 1, KeyO, H, 96, KeyO, DD, 97, KeyO, UD, 1, KeyO, H, 124, KeyO, DD, 125, KeyS, UD, 1, KeyS, H, 99, KeyS, DD, 99, KeyA, UD, 0, KeyA, H, 81, KeyA, DD, 81, KeyB, UD, 0, KeyB, H, 86, KeyB, DD, 87, KeyZ, UD, 1, KeyZ, H, 118, KeyZ, DD, 118, Enter, UD, 0, Enter
H, 81, Enter, DD, 181, Period, UD, 100, Period, H, 101, Period, DD, 101, KeyK, UD, 0, KeyK, H, 84, KeyK, DD, 85, Digit3, UD, 1, Digit3, H, 78, Digit3, DD, 78, KeyM, UD, 0, KeyM, H, 140, KeyM, DD, 140, KeyO, UD, 0, KeyO, H, 101, KeyO, DD, 101, KeyO, UD, 0, KeyO, H, 105, KeyO, DD, 106, KeyS, UD, 1, KeyS, H, 124, KeyS, DD, 125, KeyA, UD, 1, KeyA, H, 137, KeyA, DD, 137, KeyB, UD, 0, KeyB, H, 120, KeyB, DD, 120, KeyZ, UD, 0, KeyZ, H, 124, KeyZ, DD, 125, Enter, UD, 1, Enter
H, 138, Enter, DD, 241, Period, UD, 103, Period, H, 99, Period, DD, 99, KeyK, UD, 0, KeyK, H, 81, KeyK, DD, 81, Digit3, UD, 0, Digit3, H, 144, Digit3, DD, 145, KeyM, UD, 1, KeyM, H, 84, KeyM, DD, 85, KeyO, UD, 1, KeyO, H, 138, KeyO, DD, 138, KeyO, UD, 0, KeyO, H, 105, KeyO, DD, 106, KeyS, UD, 1, KeyS, H, 140, KeyS, DD, 141, KeyA, UD, 1, KeyA, H, 123, KeyA, DD, 123, KeyB, UD, 0, KeyB, H, 99, KeyB, DD, 99, KeyZ, UD, 0, KeyZ, H, 100, KeyZ, DD, 100, Enter, UD, 0, Enter
H, 126, Enter, DD, 227, Period, UD, 101, Period, H, 102, Period, DD, 102, KeyK, UD, 0, KeyK, H, 83, KeyK, DD, 84, Digit3, UD, 1, Digit3, H, 102, Digit3, DD, 102, KeyM, UD, 0, KeyM, H, 138, KeyM, DD, 138, KeyO, UD, 0, KeyO, H, 86, KeyO, DD, 87, KeyO, UD, 1, KeyO, H, 84, KeyO, DD, 84, KeyS, UD, 0, KeyS, H, 84, KeyS, DD, 85, KeyA, UD, 1, KeyA, H, 136, KeyA, DD, 136, KeyB, UD, 0, KeyB, H, 86, KeyB, DD, 87, KeyZ, UD, 1, KeyZ, H, 79, KeyZ, DD, 80, Enter, UD, 1, Enter
H, 83, Enter, DD, 181, Period, UD, 98, Period, H, 100, Period, DD, 100, KeyK, UD, 0, KeyK, H, 81, KeyK, DD, 81, Digit3, UD, 0, Digit3, H, 146, Digit3, DD, 146, KeyM, UD, 0, KeyM, H, 120, KeyM, DD, 120, KeyO, UD, 0, KeyO, H, 125, KeyO, DD, 125, KeyO, UD, 0, KeyO, H, 118, KeyO, DD, 119, KeyS, UD, 1, KeyS, H, 123, KeyS, DD, 124, KeyA, UD, 1, KeyA, H, 142, KeyA, DD, 142, KeyB, UD, 0, KeyB, H, 101, KeyB, DD, 101, KeyZ, UD, 0, KeyZ, H, 121, KeyZ, DD, 121, Enter, UD, 0, Enter
H, 100, Enter, DD, 201, Period, UD, 101, Period, H, 101, Period, DD, 101, KeyK, UD, 0, KeyK, H, 141, KeyK, DD, 141, Digit3, UD, 0, Digit3, H, 100, Digit3, DD, 100, KeyM, UD, 0, KeyM, H, 140, KeyM, DD, 140, KeyO, UD, 0, KeyO, H, 145, KeyO, DD, 145, KeyO, UD, 0, KeyO, H, 140, KeyO, DD, 140, KeyS, UD, 0, KeyS, H, 120, KeyS, DD, 120, KeyA, UD, 0, KeyA, H, 104, KeyA, DD, 104, KeyB, UD, 0, KeyB, H, 119, KeyB, DD, 119, KeyZ, UD, 0, KeyZ, H, 100, KeyZ, DD, 100, Enter, UD, 0, Enter
H, 124, Enter, DD, 228, Period, UD, 104, Period, H, 81, Period, DD, 82, KeyK, UD, 1, KeyK, H, 119, KeyK, DD, 119, Digit3, UD, 0, Digit3, H, 80, Digit3, DD, 80, KeyM, UD, 0, KeyM, H, 141, KeyM, DD, 141, KeyO, UD, 0, KeyO, H, 104, KeyO, DD, 105, KeyO, UD, 1, KeyO, H, 140, KeyO, DD, 141, KeyS, UD, 1, KeyS, H, 79, KeyS, DD, 79, KeyA, UD, 0, KeyA, H, 141, KeyA, DD, 141, KeyB, UD, 0, KeyB, H, 85, KeyB, DD, 85, KeyZ, UD, 0, KeyZ, H, 78, KeyZ, DD, 79, Enter, UD, 1, Enter
H, 124, Enter, DD, 221, Period, UD, 97, Period, H, 143, Period, DD, 144, KeyK, UD, 1, KeyK, H, 143, KeyK, DD, 143, Digit3, UD, 0, Digit3, H, 99, Digit3, DD, 99, KeyM, UD, 0, KeyM, H, 140, KeyM, DD, 141, KeyO, UD, 1, KeyO, H, 80, KeyO, DD, 80, KeyO, UD, 0, KeyO, H, 101, KeyO, DD, 101, KeyS, UD, 0, KeyS, H, 84, KeyS, DD, 85, KeyA, UD, 1, KeyA, H, 137, KeyA, DD, 137, KeyB, UD, 0, KeyB, H, 102, KeyB, DD, 102, KeyZ, UD, 0, KeyZ, H, 121, KeyZ, DD, 122, Enter, UD, 1, Enter
H, 122, Enter, DD, 230, Period, UD, 108, Period, H, 107, Period, DD, 107, KeyK, UD, 0, KeyK, H, 117, KeyK, DD, 117, Digit3, UD, 0, Digit3, H, 147, Digit3, DD, 147, KeyM, UD, 0, KeyM, H, 117, KeyM, DD, 117, KeyO, UD, 0, KeyO, H, 143, KeyO, DD, 143, KeyO, UD, 0, KeyO, H, 141, KeyO, DD, 142, KeyS, UD, 1, KeyS, H, 121, KeyS, DD, 122, KeyA, UD, 1, KeyA, H, 139, KeyA, DD, 139, KeyB, UD, 0, KeyB, H, 101, KeyB, DD, 101, KeyZ, UD, 0, KeyZ, H, 80, KeyZ, DD, 81, Enter, UD, 1, Enter
H, 86, Enter, DD, 185, Period, UD, 99, Period, H, 100, Period, DD, 100, KeyK, UD, 0, KeyK, H, 143, KeyK, DD, 145, Digit3, UD, 2, Digit3, H, 137, Digit3, DD, 138, KeyM, UD, 1, KeyM, H, 140, KeyM, DD, 140, KeyO, UD, 0, KeyO, H, 120, KeyO, DD, 120, KeyO, UD, 0, KeyO, H, 101, KeyO, DD, 101, KeyS, UD, 0, KeyS, H, 141, KeyS, DD, 141, KeyA, UD, 0, KeyA, H, 106, KeyA, DD, 106, KeyB, UD, 0, KeyB, H, 103, KeyB, DD, 104, KeyZ, UD, 1, KeyZ, H, 140, KeyZ, DD, 141, Enter, UD, 1, Enter
H, 83, Enter, DD, 185, Period, UD, 102, Period, H, 123, Period, DD, 125, KeyK, UD, 2, KeyK, H, 135, KeyK, DD, 135, Digit3, UD, 0, Digit3, H, 80, Digit3, DD, 80, KeyM, UD, 0, KeyM, H, 81, KeyM, DD, 81, KeyO, UD, 0, KeyO, H, 101, KeyO, DD, 101, KeyO, UD, 0, KeyO, H, 101, KeyO, DD, 101, KeyS, UD, 0, KeyS, H, 81, KeyS, DD, 81, KeyA, UD, 0, KeyA, H, 80, KeyA, DD, 80, KeyB, UD, 0, KeyB, H, 122, KeyB, DD, 123, KeyZ, UD, 1, KeyZ, H, 80, KeyZ, DD, 81, Enter, UD, 1, Enter
H, 84, Enter, DD, 183, Period, UD, 99, Period, H, 85, Period, DD, 86, KeyK, UD, 1, KeyK, H, 98, KeyK, DD, 98, Digit3, UD, 0, Digit3, H, 81, Digit3, DD, 81, KeyM, UD, 0, KeyM, H, 143, KeyM, DD, 144, KeyO, UD, 1, KeyO, H, 144, KeyO, DD, 146, KeyO, UD, 2, KeyO, H, 118, KeyO, DD, 118, KeyS, UD, 0, KeyS, H, 139, KeyS, DD, 139, KeyA, UD, 0, KeyA, H, 83, KeyA, DD, 84, KeyB, UD, 1, KeyB, H, 99, KeyB, DD, 99, KeyZ, UD, 0, KeyZ, H, 146, KeyZ, DD, 147, Enter, UD, 1, Enter
H, 118, Enter, DD, 222, Period, UD, 104, Period, H, 141, Period, DD, 142, KeyK, UD, 1, KeyK, H, 122, KeyK, DD, 122, Digit3, UD, 0, Digit3, H, 103, Digit3, DD, 104, KeyM, UD, 1, KeyM, H, 84, KeyM, DD, 85, KeyO, UD, 1, KeyO, H, 119, KeyO, DD, 119, KeyO, UD, 0, KeyO, H, 120, KeyO, DD, 120, KeyS, UD, 0, KeyS, H, 139, KeyS, DD, 139, KeyA, UD, 0, KeyA, H, 101, KeyA, DD, 101, KeyB, UD, 0, KeyB, H, 120, KeyB, DD, 120, KeyZ, UD, 0, KeyZ, H, 144, KeyZ, DD, 146, Enter, UD, 2, Enter
H, 123, Enter, DD, 225, Period, UD, 102, Period, H, 98, Period, DD, 99, KeyK, UD, 1, KeyK, H, 100, KeyK, DD, 100, Digit3, UD, 0, Digit3, H, 85, Digit3, DD, 86, KeyM, UD, 1, KeyM, H, 99, KeyM, DD, 99, KeyO, UD, 0, KeyO, H, 99, KeyO, DD, 100, KeyO, UD, 1, KeyO, H, 81, KeyO, DD, 81, KeyS, UD, 0, KeyS, H, 121, KeyS, DD, 122, KeyA, UD, 1, KeyA, H, 144, KeyA, DD, 145, KeyB, UD, 1, KeyB, H, 143, KeyB, DD, 146, KeyZ, UD, 3, KeyZ, H, 80, KeyZ, DD, 81, Enter, UD, 1, Enter
H, 82, Enter, DD, 184, Period, UD, 102, Period, H, 102, Period, DD, 102, KeyK, UD, 0, KeyK, H, 120, KeyK, DD, 120, Digit3, UD, 0, Digit3, H, 126, Digit3, DD, 126, KeyM, UD, 0, KeyM, H, 141, KeyM, DD, 141, KeyO, UD, 0, KeyO, H, 119, KeyO, DD, 119, KeyO, UD, 0, KeyO, H, 147, KeyO, DD, 147, KeyS, UD, 0, KeyS, H, 79, KeyS, DD, 79, KeyA, UD, 0, KeyA, H, 141, KeyA, DD, 141, KeyB, UD, 0, KeyB, H, 121, KeyB, DD, 121, KeyZ, UD, 0, KeyZ, H, 100, KeyZ, DD, 100, Enter, UD, 0, Enter
H, 81, Enter, DD, 183, Period, UD, 102, Period, H, 80, Period, DD, 81, KeyK, UD, 1, KeyK, H, 147, KeyK, DD, 148, Digit3, UD, 1, Digit3, H, 78, Digit3, DD, 78, KeyM, UD, 0, KeyM, H, 101, KeyM, DD, 101, KeyO, UD, 0, KeyO, H, 140, KeyO, DD, 140, KeyO, UD, 0, KeyO, H, 86, KeyO, DD, 86, KeyS, UD, 0, KeyS, H, 82, KeyS, DD, 82, KeyA, UD, 0, KeyA, H, 99, KeyA, DD, 99, KeyB, UD, 0, KeyB, H, 142, KeyB, DD, 142, KeyZ, UD, 0, KeyZ, H, 104, KeyZ, DD, 105, Enter, UD, 1, Enter
